key,cluster,description,label,new_label
minimal projective resolutions,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
projective transformations,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
projectively,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
planar,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
determinantal varieties,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
breakdown of KAM curves,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
bi-quadratic algebraic curve,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
Klein quartic curve,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
complex algebraic geometry,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
subvarieties,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
varieties,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
centrally symmetric closed convex curves,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
Schubert varieties,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
planar curve,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
curve,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
projective resolutions,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
projective plane,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
planarity,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
curves,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
pencils of curves,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
planar (for the second document),46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
algebraic geometry,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
projective scheme,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
trigonal curve,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
symmetric varieties,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
algebraic varieties,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
elliptic curve,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
projective,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
$\mathbb{P}^{2n}$,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
smooth complex projective curves,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
affine toric varieties,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
Langlands correspondences,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
genus-3 curves,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
geometrizable,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
genus one normal curves,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
projective curve,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
curved,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
radon curves,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
projective profinite groups,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
fake projective plane,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
smooth projective varieties,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
real algebraic varieties,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
algebraic cycles,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
"n > 4 (for non-faithfulness)

Long and Paton's construction uses a simple closed curve on the 6-punctured disc with certain hom",46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
higher dimensional projective varieties,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
semiabelian varieties,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
elliptic curves,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
projective spaces,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
projective geometry,46,"The study of geometric objects defined by polynomial equations in algebraic systems, including complex projective spaces, algebraic curves, abelian varieties, and varieties with symmetries. Topics include minimal projective resolutions, planar curves, determinantal varieties, subvarieties, Schubert varieties, and Langlands correspondences. Emphasis is placed on understanding the topology, singularities, and moduli spaces of these objects.",Algebraic Geometry,Algebraic Geometry_46
euclidian algorithms,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
metric geometric algebra,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
C^3,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
cubic,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
perfect square,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
$q$-round,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
square,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
triangle,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
two-dimensional quadratic systems,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
shapes,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
geometric structure,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
Euclidean,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
quadratures,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
$CP^2#k\bar{CP^2}$,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
squares,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
triangles,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
quadratic forms,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
biquadratic,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
geometric algebra,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
triples,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
near perfect squares,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
quadrilaterals,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
6CP^2-bar,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
rectangles,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
perfect quadratic forms,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
quadratic,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
planimeters,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
cubes,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
geometrical formulation,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
Drinfel'd double,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
CP^2,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
quadrature,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
sine,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
cube,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
geometric,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
harmonic quadruple,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
quadrisecant,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
geometrically,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
C^d or C^(d-1),47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
gcd,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
geometrical,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
pentagon equations,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
quadrics,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
spatially,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
n-cube,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
euclidean,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
three-dimensional double quadric,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
arbitrarily close to 2π,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
spatial,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
subequilateral,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
geometry,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
quadrature mirror filters,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
geometrically distinct,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
equianharmonic quadruple,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
quadrangulations,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
quadrilateral,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
quartic,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
triangle reverse,47,"The study of shapes, sizes, and spatial relationships using mathematical concepts such as lines, angles, curves, and dimensions.",Geometry,Geometry_47
sets of matrices,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
Gram-Schmidt,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
orthogonalization,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
systems of linear equations,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
svd,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
Bezout matrix,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
max-plus matrices,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
matrix multiplication,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
linear combinations,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
subspace invariance,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
resolvents,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
vector spaces,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
matrix factorizations,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
principal term,48,"A mathematical discipline focused on the study of matrices, vectors, and their relationships, encompassing topics such as systems of linear equations, orthogonalization, subspace invariance, determinants, matrix factorizations, and subspace estimation.",Linear Algebra,Linear Algebra_48
